,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,t36,t37,t38,t39,t40,t41,t42,t43,t44,t45,t46,t47,t48,t49,t50,t51,t52,t53,t54,t55,r2_score,slope,res_sqsum,i_index,j_index
1,55156.0,55126.0,55128.0,55124.0,55130.0,55127.0,55124.0,55129.0,55127.0,55132.0,55126.0,55126.0,55124.0,55128.0,55125.0,55124.0,55127.0,55123.0,55127.0,55129.0,55125.0,55132.0,55130.0,55126.0,55129.0,55126.0,55129.0,55128.0,55128.0,55125.0,55126.0,55132.0,55127.0,55127.0,55125.0,55126.0,55125.0,55130.0,55127.0,55127.0,55126.0,55128.0,55123.0,55124.0,55127.0,55131.0,55131.0,55121.0,55126.0,55126.0,55124.0,55128.0,55124.0,55125.0,55124.0,55129.0,0.06472524173046579,-0.07194121667805883,1094.121155160633,0.0,0.0
2,55492.0,55463.0,55457.0,55461.0,55456.0,55451.0,55462.0,55467.0,55460.0,55462.0,55463.0,55460.0,55458.0,55458.0,55455.0,55459.0,55467.0,55457.0,55462.0,55459.0,55464.0,55465.0,55463.0,55462.0,55467.0,55462.0,55461.0,55459.0,55467.0,55455.0,55464.0,55461.0,55461.0,55461.0,55458.0,55461.0,55460.0,55463.0,55455.0,55455.0,55461.0,55459.0,55458.0,55465.0,55460.0,55460.0,55459.0,55455.0,55468.0,55465.0,55458.0,55458.0,55460.0,55461.0,55463.0,55464.0,0.018194556190732736,-0.0455570745044429,1638.4754955570547,0.0,1.0
3,55227.0,55202.0,55204.0,55204.0,55205.0,55204.0,55199.0,55205.0,55205.0,55204.0,55204.0,55202.0,55201.0,55202.0,55200.0,55204.0,55206.0,55205.0,55203.0,55203.0,55203.0,55205.0,55205.0,55200.0,55203.0,55204.0,55207.0,55209.0,55202.0,55205.0,55205.0,55206.0,55205.0,55207.0,55201.0,55203.0,55205.0,55203.0,55207.0,55202.0,55205.0,55203.0,55195.0,55207.0,55205.0,55207.0,55203.0,55202.0,55208.0,55206.0,55203.0,55204.0,55202.0,55201.0,55208.0,55207.0,0.006009168899148598,-0.018796992481203003,855.045112781968,0.0,2.0
4,55479.0,55453.0,55452.0,55451.0,55455.0,55453.0,55452.0,55454.0,55452.0,55450.0,55455.0,55454.0,55453.0,55451.0,55449.0,55453.0,55455.0,55452.0,55445.0,55454.0,55451.0,55455.0,55456.0,55461.0,55456.0,55447.0,55452.0,55457.0,55455.0,55456.0,55455.0,55461.0,55456.0,55454.0,55453.0,55455.0,55453.0,55456.0,55457.0,55454.0,55457.0,55453.0,55452.0,55458.0,55459.0,55455.0,55454.0,55453.0,55456.0,55452.0,55451.0,55457.0,55457.0,55456.0,55457.0,55455.0,0.0047084978691807056,0.01866028708133973,1076.8343130553944,0.0,3.0
5,55279.0,55240.0,55240.0,55241.0,55248.0,55241.0,55240.0,55246.0,55246.0,55243.0,55246.0,55241.0,55244.0,55243.0,55238.0,55247.0,55248.0,55239.0,55244.0,55244.0,55243.0,55245.0,55248.0,55243.0,55242.0,55243.0,55247.0,55247.0,55244.0,55249.0,55251.0,55255.0,55243.0,55248.0,55242.0,55245.0,55247.0,55247.0,55243.0,55242.0,55246.0,55247.0,55241.0,55245.0,55248.0,55243.0,55244.0,55240.0,55245.0,55248.0,55242.0,55248.0,55241.0,55245.0,55250.0,55247.0,0.0010425226442548619,-0.011209842788790067,1761.5901572113312,0.0,4.0
6,55286.0,55264.0,55262.0,55257.0,55263.0,55258.0,55256.0,55262.0,55259.0,55257.0,55265.0,55258.0,55262.0,55263.0,55258.0,55263.0,55264.0,55261.0,55262.0,55264.0,55257.0,55267.0,55265.0,55263.0,55261.0,55262.0,55267.0,55268.0,55260.0,55262.0,55264.0,55269.0,55261.0,55267.0,55259.0,55263.0,55263.0,55265.0,55268.0,55262.0,55264.0,55263.0,55263.0,55265.0,55268.0,55266.0,55262.0,55259.0,55263.0,55265.0,55261.0,55264.0,55259.0,55257.0,55265.0,55265.0,0.0016774945606489178,0.011209842788790185,1094.0901572111404,0.0,5.0
7,55661.0,55635.0,55637.0,55635.0,55637.0,55635.0,55629.0,55638.0,55638.0,55639.0,55637.0,55635.0,55633.0,55635.0,55635.0,55634.0,55635.0,55634.0,55636.0,55636.0,55635.0,55641.0,55639.0,55635.0,55634.0,55636.0,55637.0,55637.0,55633.0,55637.0,55640.0,55641.0,55633.0,55638.0,55633.0,55636.0,55635.0,55639.0,55637.0,55637.0,55638.0,55632.0,55633.0,55640.0,55637.0,55637.0,55638.0,55633.0,55636.0,55637.0,55633.0,55638.0,55632.0,55634.0,55638.0,55635.0,0.0282721591023275,-0.04251537935748468,908.9125768967874,0.0,6.0
8,55371.0,55343.0,55346.0,55343.0,55343.0,55341.0,55339.0,55344.0,55344.0,55345.0,55342.0,55345.0,55344.0,55342.0,55342.0,55344.0,55345.0,55340.0,55344.0,55349.0,55344.0,55342.0,55348.0,55339.0,55342.0,55343.0,55344.0,55346.0,55342.0,55340.0,55346.0,55348.0,55341.0,55345.0,55342.0,55343.0,55344.0,55346.0,55347.0,55343.0,55340.0,55343.0,55343.0,55345.0,55345.0,55345.0,55343.0,55343.0,55347.0,55346.0,55345.0,55342.0,55345.0,55341.0,55346.0,55345.0,0.011654009365533846,-0.028263841421736182,991.152187286446,0.0,7.0
9,55460.0,55432.0,55436.0,55432.0,55435.0,55435.0,55432.0,55436.0,55436.0,55433.0,55438.0,55435.0,55432.0,55433.0,55431.0,55432.0,55437.0,55433.0,55434.0,55435.0,55431.0,55436.0,55437.0,55433.0,55432.0,55437.0,55434.0,55438.0,55434.0,55433.0,55435.0,55441.0,55434.0,55437.0,55436.0,55432.0,55438.0,55438.0,55435.0,55438.0,55434.0,55433.0,55438.0,55438.0,55436.0,55437.0,55435.0,55433.0,55436.0,55439.0,55436.0,55441.0,55436.0,55436.0,55435.0,55438.0,0.0033602303689584945,0.01452494873547504,915.467019822342,0.0,8.0
10,55196.0,55167.0,55173.0,55170.0,55170.0,55167.0,55169.0,55171.0,55168.0,55168.0,55169.0,55165.0,55168.0,55169.0,55169.0,55167.0,55173.0,55166.0,55169.0,55171.0,55170.0,55172.0,55175.0,55166.0,55171.0,55169.0,55169.0,55170.0,55171.0,55171.0,55171.0,55174.0,55168.0,55172.0,55171.0,55171.0,55169.0,55168.0,55168.0,55168.0,55169.0,55169.0,55167.0,55170.0,55173.0,55171.0,55171.0,55170.0,55171.0,55169.0,55169.0,55172.0,55170.0,55168.0,55171.0,55175.0,0.00533844546109008,-0.01838687628161313,921.5539302803,0.0,9.0
